Customer ID,Product Purchased,Rating (1-5),Feedback Text,2024-03-11
9115,Tablet,3,Delivery was delayed but product quality is decent.,2024-04-30
5022,Detergent,2,"Not worth the price, would not recommend.",2024-10-06
6622,Milk,3,"Could use better features, but it works as intended.",2024-05-30
8246,T-Shirt,2,Customer service was unhelpful with my issue.,2024-06-11
8239,Laptop,3,"Not too bad, not too great, average experience.",2024-07-06
6865,Shampoo,3,Delivery was delayed but product quality is decent.,2024-04-08
3002,Shoes,2,Customer service was unhelpful with my issue.,2024-10-07
7543,Tablet,4,Fast delivery and product works perfectly.,2023-11-21
4818,Soap,2,"Very poor quality, not as advertised.",2024-05-04
4364,Shoes,3,"Not too bad, not too great, average experience.",2024-02-23
9871,Milk,2,"Not worth the price, would not recommend.",2024-06-29
1254,Shoes,3,"Could use better features, but it works as intended.",2024-06-19
1130,Jacket,4,"Great value for money, will buy again.",2024-11-14
3960,Rice,2,"Very poor quality, not as advertised.",2024-09-20
5887,T-Shirt,5,The product met all my needs and more!,2024-08-11
2645,T-Shirt,5,"Very satisfied with the product, exceeded expectations.",2024-04-14
4310,Tablet,5,The product met all my needs and more!,2024-04-26
2096,Soap,4,"Excellent quality, totally worth the price.",2024-08-22
2770,Laptop,4,The product met all my needs and more!,2024-03-01
3038,Tablet,2,"Very poor quality, not as advertised.",2023-12-02
8065,Bread,1,"The product broke after a few uses, very disappointed.",2024-05-05
2877,Soap,5,Fast delivery and product works perfectly.,2024-03-07
1121,Smartphone,4,The product met all my needs and more!,2023-12-08
2953,Detergent,4,"Excellent quality, totally worth the price.",2024-09-07
3662,Laptop,3,"Not too bad, not too great, average experience.",2024-06-16
3683,Bread,4,Fast delivery and product works perfectly.,2024-02-11
4774,Headphones,2,"Not worth the price, would not recommend.",2023-12-25
6569,Toothpaste,4,"Great value for money, will buy again.",2024-08-11
7410,Soap,3,The product is okay but could be improved.,2024-06-24
1772,Rice,1,"Very poor quality, not as advertised.",2024-01-05
6932,Detergent,4,"Very satisfied with the product, exceeded expectations.",2024-08-24
1604,Laptop,5,"Excellent quality, totally worth the price.",2023-11-22
2514,Jeans,5,"Excellent quality, totally worth the price.",2024-07-08
9346,Milk,2,"Not worth the price, would not recommend.",2024-02-29
8038,Smartphone,5,Fast delivery and product works perfectly.,2024-03-03
9116,Eggs,1,"Not worth the price, would not recommend.",2024-06-24
1368,Shampoo,5,The product met all my needs and more!,2024-11-12
1352,T-Shirt,5,The product met all my needs and more!,2024-04-24
6014,Shampoo,4,"Great value for money, will buy again.",2024-10-17
6778,Bread,4,"Great value for money, will buy again.",2024-11-06
3161,Jeans,4,The product met all my needs and more!,2024-06-28
9188,Rice,5,"Very satisfied with the product, exceeded expectations.",2024-11-03
1187,Toothpaste,5,"Very satisfied with the product, exceeded expectations.",2024-09-09
5273,Bread,5,The product met all my needs and more!,2024-02-22
1306,Smartphone,3,The product is okay but could be improved.,2024-03-07
2505,Shoes,1,"The product broke after a few uses, very disappointed.",2024-02-09
8123,Eggs,4,The product met all my needs and more!,2024-03-07
1937,Soap,3,Delivery was delayed but product quality is decent.,2024-10-23
9351,Jacket,5,"Excellent quality, totally worth the price.",2024-06-21
4469,Bread,1,"Not worth the price, would not recommend.",2023-12-03
5786,Laptop,3,"Could use better features, but it works as intended.",2024-01-14
6072,Toothpaste,2,"Not worth the price, would not recommend.",2024-03-22
4104,Bread,2,"Not worth the price, would not recommend.",2024-03-23
8330,Shoes,2,"Not worth the price, would not recommend.",2024-05-11
3391,Shampoo,3,"Could use better features, but it works as intended.",2024-11-09
8316,Rice,3,"Could use better features, but it works as intended.",2024-11-06
2815,T-Shirt,4,"Excellent quality, totally worth the price.",2024-11-16
7128,Soap,2,"Very poor quality, not as advertised.",2024-11-10
2133,Rice,3,"Packaging was damaged, but product was fine.",2024-11-18
5026,Detergent,1,"The product broke after a few uses, very disappointed.",2024-01-07
5339,Eggs,4,"Excellent quality, totally worth the price.",2024-01-27
3834,Toothpaste,2,"The product broke after a few uses, very disappointed.",2024-08-14
5088,Tablet,1,"The product broke after a few uses, very disappointed.",2024-02-29
3196,Toothpaste,4,"Very satisfied with the product, exceeded expectations.",2024-10-01
4217,T-Shirt,5,Fast delivery and product works perfectly.,2024-07-29
5430,Bread,3,"Packaging was damaged, but product was fine.",2024-08-24
4199,Laptop,4,"Great value for money, will buy again.",2024-03-08
4174,Rice,4,"Excellent quality, totally worth the price.",2024-03-06
6741,Laptop,5,"Very satisfied with the product, exceeded expectations.",2024-10-26
7163,Shoes,1,Late delivery and product was defective.,2023-12-12
8696,Eggs,1,Customer service was unhelpful with my issue.,2023-12-10
1883,Shoes,2,"Not worth the price, would not recommend.",2024-08-14
1050,Smartphone,2,"The product broke after a few uses, very disappointed.",2024-11-02
9390,Bread,5,"Very satisfied with the product, exceeded expectations.",2024-02-13
8962,Soap,1,"The product broke after a few uses, very disappointed.",2023-12-20
6112,Soap,3,"Not too bad, not too great, average experience.",2024-09-09
2000,Jeans,5,Fast delivery and product works perfectly.,2024-05-29
3364,T-Shirt,5,"Great value for money, will buy again.",2024-08-28
9706,Toothpaste,4,"Very satisfied with the product, exceeded expectations.",2023-11-21
5538,Shoes,2,"Not worth the price, would not recommend.",2024-11-09
3174,Smartphone,4,"Excellent quality, totally worth the price.",2024-06-03
1231,Detergent,2,Late delivery and product was defective.,2024-05-27
7944,T-Shirt,2,Customer service was unhelpful with my issue.,2024-06-08
4959,Milk,1,"Very poor quality, not as advertised.",2024-10-30
9533,Shampoo,4,The product met all my needs and more!,2024-10-05
1874,Bread,1,"Not worth the price, would not recommend.",2023-12-11
6104,Toothpaste,3,Delivery was delayed but product quality is decent.,2024-03-13
7186,Laptop,1,"The product broke after a few uses, very disappointed.",2023-12-19
2400,Laptop,1,"Not worth the price, would not recommend.",2024-09-10
4551,Shampoo,3,Delivery was delayed but product quality is decent.,2024-07-01
9251,Jeans,3,"Packaging was damaged, but product was fine.",2024-08-15
1705,Smartphone,3,"Packaging was damaged, but product was fine.",2024-09-17
8649,Jacket,4,"Excellent quality, totally worth the price.",2024-02-14
1339,Shampoo,3,"Not too bad, not too great, average experience.",2024-04-09
5915,Toothpaste,1,"The product broke after a few uses, very disappointed.",2024-09-13
1213,Headphones,2,"The product broke after a few uses, very disappointed.",2024-11-19
5568,Shoes,3,Delivery was delayed but product quality is decent.,2024-02-06
7764,Rice,3,Delivery was delayed but product quality is decent.,2024-07-28
8359,Laptop,1,"Very poor quality, not as advertised.",2024-02-19
5940,Shampoo,1,"Very poor quality, not as advertised.",2024-01-23
5096,Headphones,5,"Excellent quality, totally worth the price.",2024-02-14
7667,Laptop,2,"Not worth the price, would not recommend.",2024-02-21
8089,Rice,1,"Very poor quality, not as advertised.",2024-06-20
5780,Shampoo,5,Fast delivery and product works perfectly.,2024-04-08
3892,Rice,1,Late delivery and product was defective.,2024-09-13
7727,Smartphone,5,The product met all my needs and more!,2024-04-04
3102,Milk,2,"Very poor quality, not as advertised.",2024-01-08
6963,Smartphone,3,"Could use better features, but it works as intended.",2024-06-14
1552,Jeans,2,Late delivery and product was defective.,2024-05-16
3248,Laptop,3,"Not too bad, not too great, average experience.",2024-07-08
8822,Tablet,1,"Very poor quality, not as advertised.",2024-03-18
4030,Toothpaste,1,"Not worth the price, would not recommend.",2024-06-15
9294,Shoes,5,The product met all my needs and more!,2024-06-02
1402,Milk,2,Customer service was unhelpful with my issue.,2024-04-26
9447,Soap,2,"Not worth the price, would not recommend.",2024-03-26
7776,Shoes,3,"Not too bad, not too great, average experience.",2024-09-06
8906,T-Shirt,1,"Not worth the price, would not recommend.",2024-08-29
5953,Toothpaste,2,"Very poor quality, not as advertised.",2024-09-28
4919,Headphones,3,The product is okay but could be improved.,2024-03-29
4382,Jacket,4,"Great value for money, will buy again.",2023-11-24
2633,Smartphone,1,Customer service was unhelpful with my issue.,2024-07-21
2057,Headphones,3,"Could use better features, but it works as intended.",2024-04-02
5057,Soap,5,"Great value for money, will buy again.",2024-01-21
6910,Laptop,5,The product met all my needs and more!,2024-07-26
3797,Shoes,2,Late delivery and product was defective.,2024-07-18
8243,Soap,4,"Great value for money, will buy again.",2024-06-09
1423,Shampoo,1,"Not worth the price, would not recommend.",2024-03-09
7135,Laptop,2,"The product broke after a few uses, very disappointed.",2024-10-22
2860,Smartphone,2,"Not worth the price, would not recommend.",2024-05-18
9724,Shoes,3,"Not too bad, not too great, average experience.",2024-08-24
4425,Shoes,1,Late delivery and product was defective.,2024-03-02
4550,Tablet,5,"Great value for money, will buy again.",2024-04-21
6804,Shoes,5,"Very satisfied with the product, exceeded expectations.",2024-10-18
3130,Tablet,3,"Packaging was damaged, but product was fine.",2024-06-09
5260,Smartphone,4,"Great value for money, will buy again.",2024-05-19
5401,Bread,5,"Excellent quality, totally worth the price.",2023-12-29
8539,Laptop,3,"Packaging was damaged, but product was fine.",2024-09-08
8835,Tablet,5,The product met all my needs and more!,2024-10-17
5607,Eggs,4,The product met all my needs and more!,2024-06-10
3318,Laptop,1,Customer service was unhelpful with my issue.,2024-08-05
5212,Bread,5,"Great value for money, will buy again.",2024-06-25
7994,Headphones,5,The product met all my needs and more!,2024-07-09
3519,Headphones,5,Fast delivery and product works perfectly.,2024-05-11
5745,T-Shirt,4,Fast delivery and product works perfectly.,2024-10-21
7722,Bread,1,Customer service was unhelpful with my issue.,2024-08-29
3193,Detergent,5,Fast delivery and product works perfectly.,2024-02-28
6319,Shampoo,5,"Very satisfied with the product, exceeded expectations.",2024-02-10
7254,T-Shirt,3,The product is okay but could be improved.,2024-06-10
8192,Shoes,3,"Could use better features, but it works as intended.",2024-09-04
8082,Rice,3,"Could use better features, but it works as intended.",2024-06-25
7738,Tablet,2,"Not worth the price, would not recommend.",2024-08-09
8195,Toothpaste,1,Customer service was unhelpful with my issue.,2024-03-04
4663,Jacket,3,The product is okay but could be improved.,2024-09-22
8103,Toothpaste,3,"Could use better features, but it works as intended.",2023-11-21
8494,Jacket,2,Late delivery and product was defective.,2024-05-28
7642,Eggs,2,Customer service was unhelpful with my issue.,2024-09-07
9838,Rice,1,"The product broke after a few uses, very disappointed.",2024-07-29
7818,Jeans,2,"Very poor quality, not as advertised.",2024-04-24
7297,Bread,1,Late delivery and product was defective.,2024-08-07
7024,Detergent,1,Late delivery and product was defective.,2024-02-16
5271,Smartphone,1,Customer service was unhelpful with my issue.,2024-06-04
2256,Shoes,5,"Excellent quality, totally worth the price.",2024-11-16
6358,Smartphone,3,Delivery was delayed but product quality is decent.,2024-06-04
8617,Shampoo,4,Fast delivery and product works perfectly.,2024-05-26
2477,Smartphone,2,Late delivery and product was defective.,2024-01-05
5698,Jeans,1,Late delivery and product was defective.,2024-08-21
1687,Smartphone,5,"Excellent quality, totally worth the price.",2024-05-19
2481,Shampoo,4,"Excellent quality, totally worth the price.",2024-06-19
7604,Jeans,1,Customer service was unhelpful with my issue.,2024-06-18
4775,Smartphone,1,"Not worth the price, would not recommend.",2024-06-07
5784,Shoes,5,"Excellent quality, totally worth the price.",2024-11-12
5631,Laptop,4,"Great value for money, will buy again.",2024-05-28
8528,Jeans,3,"Could use better features, but it works as intended.",2024-08-26
3319,Jeans,4,"Excellent quality, totally worth the price.",2024-06-20
3183,Shampoo,5,"Very satisfied with the product, exceeded expectations.",2024-08-10
6843,Soap,1,"Not worth the price, would not recommend.",2024-10-08
9386,Eggs,4,Fast delivery and product works perfectly.,2024-10-28
4976,Milk,4,"Excellent quality, totally worth the price.",2024-03-17
4567,Rice,3,The product is okay but could be improved.,2023-12-21
9479,Shoes,2,Customer service was unhelpful with my issue.,2024-06-06
4709,Jeans,3,Delivery was delayed but product quality is decent.,2024-05-31
1965,Milk,5,Fast delivery and product works perfectly.,2024-01-13
3966,Shoes,3,"Packaging was damaged, but product was fine.",2023-12-19
2744,Headphones,1,Customer service was unhelpful with my issue.,2024-06-10
7522,Bread,3,The product is okay but could be improved.,2024-01-19
5439,Eggs,4,Fast delivery and product works perfectly.,2024-10-30
2632,Jeans,5,"Great value for money, will buy again.",2024-04-22
8847,Smartphone,1,Customer service was unhelpful with my issue.,2024-09-12
6549,Shampoo,3,"Not too bad, not too great, average experience.",2024-04-03
7396,Shampoo,2,"The product broke after a few uses, very disappointed.",2024-09-04
4406,Soap,3,The product is okay but could be improved.,2024-09-15
4397,Eggs,3,"Could use better features, but it works as intended.",2024-07-02
3837,Eggs,3,"Could use better features, but it works as intended.",2024-05-17
3072,T-Shirt,5,"Excellent quality, totally worth the price.",2024-06-01
3166,T-Shirt,2,Late delivery and product was defective.,2023-12-21
4076,Jacket,4,"Very satisfied with the product, exceeded expectations.",2024-10-05
4067,Detergent,4,Fast delivery and product works perfectly.,2024-01-22
9384,Detergent,3,Delivery was delayed but product quality is decent.,2024-05-16
5424,Shoes,2,Late delivery and product was defective.,2024-05-30
6265,Detergent,5,Fast delivery and product works perfectly.,2024-08-16
2495,Rice,4,The product met all my needs and more!,2024-09-13
5487,Headphones,1,Customer service was unhelpful with my issue.,2024-09-07
1138,Soap,4,"Very satisfied with the product, exceeded expectations.",2024-06-04
3065,Eggs,3,The product is okay but could be improved.,2024-04-11
8424,Soap,3,The product is okay but could be improved.,2024-09-16
4191,Soap,4,The product met all my needs and more!,2023-11-22
1002,Laptop,3,"Not too bad, not too great, average experience.",2024-02-28
4021,Shampoo,2,Late delivery and product was defective.,2023-11-27
2612,Eggs,4,"Excellent quality, totally worth the price.",2024-06-17
6912,Jacket,3,"Could use better features, but it works as intended.",2024-05-10
4139,Eggs,2,Late delivery and product was defective.,2023-12-21
3781,Smartphone,3,The product is okay but could be improved.,2024-03-24
6724,Jeans,3,The product is okay but could be improved.,2024-04-26
2899,Shampoo,5,The product met all my needs and more!,2024-03-12
1909,Soap,1,Customer service was unhelpful with my issue.,2024-07-26
2772,Smartphone,5,"Great value for money, will buy again.",2024-05-26
4028,Soap,5,The product met all my needs and more!,2024-03-11
2153,Shampoo,2,Customer service was unhelpful with my issue.,2023-12-27
7693,Jacket,2,"Very poor quality, not as advertised.",2023-11-20
2386,Jeans,3,"Not too bad, not too great, average experience.",2024-07-10
8185,Soap,5,"Very satisfied with the product, exceeded expectations.",2024-01-16
7028,Smartphone,2,"Not worth the price, would not recommend.",2023-12-16
4491,Jacket,1,"Very poor quality, not as advertised.",2024-04-20
2582,Eggs,4,"Excellent quality, totally worth the price.",2024-03-27
1697,Laptop,4,"Excellent quality, totally worth the price.",2023-12-27
3158,Eggs,2,"Not worth the price, would not recommend.",2024-02-15
8144,Smartphone,4,Fast delivery and product works perfectly.,2024-04-15
2393,Shampoo,3,"Packaging was damaged, but product was fine.",2024-09-04
9300,Smartphone,3,"Could use better features, but it works as intended.",2024-11-01
2791,Rice,1,"The product broke after a few uses, very disappointed.",2024-10-09
1668,Shampoo,2,Late delivery and product was defective.,2024-07-27
4061,Toothpaste,4,The product met all my needs and more!,2024-06-11
3384,Smartphone,3,The product is okay but could be improved.,2024-05-24
2560,Eggs,4,The product met all my needs and more!,2024-07-22
1445,Milk,3,"Could use better features, but it works as intended.",2024-02-24
4737,Shampoo,2,"Not worth the price, would not recommend.",2023-11-28
2513,Laptop,2,"The product broke after a few uses, very disappointed.",2023-12-01
6366,Detergent,2,Late delivery and product was defective.,2024-09-23
1429,Eggs,5,"Very satisfied with the product, exceeded expectations.",2023-12-01
1888,Bread,5,The product met all my needs and more!,2024-08-09
7092,Soap,1,Late delivery and product was defective.,2024-04-07
6717,Rice,3,"Could use better features, but it works as intended.",2024-02-01
7637,Detergent,3,Delivery was delayed but product quality is decent.,2024-08-06
2929,Shoes,3,"Could use better features, but it works as intended.",2024-04-29
5516,Toothpaste,4,The product met all my needs and more!,2024-05-29
5937,Smartphone,3,"Could use better features, but it works as intended.",2024-09-23
8897,T-Shirt,1,"Very poor quality, not as advertised.",2024-04-25
8290,Detergent,4,The product met all my needs and more!,2024-06-06
2809,Smartphone,1,"Very poor quality, not as advertised.",2023-12-17
4541,Jacket,4,"Very satisfied with the product, exceeded expectations.",2024-05-04
8523,Shoes,1,"Not worth the price, would not recommend.",2024-04-19
2964,Headphones,4,"Excellent quality, totally worth the price.",2024-08-03
3667,Jacket,3,"Not too bad, not too great, average experience.",2024-09-25
4608,Laptop,3,Delivery was delayed but product quality is decent.,2024-09-10
6615,Rice,2,"The product broke after a few uses, very disappointed.",2024-01-02
8746,Toothpaste,2,Late delivery and product was defective.,2024-08-09
4977,Toothpaste,3,"Not too bad, not too great, average experience.",2024-11-06
2070,Shoes,3,The product is okay but could be improved.,2024-09-19
7424,Toothpaste,1,Late delivery and product was defective.,2024-04-17
8356,Detergent,5,"Excellent quality, totally worth the price.",2024-08-01
3350,Shoes,3,"Could use better features, but it works as intended.",2024-05-15
8133,Milk,1,"Very poor quality, not as advertised.",2024-09-07
5552,Tablet,2,"Very poor quality, not as advertised.",2024-02-15
3440,Shoes,1,"The product broke after a few uses, very disappointed.",2024-10-26
6539,Toothpaste,3,"Could use better features, but it works as intended.",2024-05-15
5003,Tablet,5,"Very satisfied with the product, exceeded expectations.",2024-10-23
8932,Tablet,3,"Not too bad, not too great, average experience.",2024-05-18
6468,Headphones,1,"Not worth the price, would not recommend.",2024-03-08
4042,Toothpaste,2,Customer service was unhelpful with my issue.,2024-04-26
9868,Tablet,4,The product met all my needs and more!,2024-08-16
8805,Shampoo,5,The product met all my needs and more!,2024-03-15
8440,Shampoo,5,"Great value for money, will buy again.",2024-07-02
6786,Jeans,4,"Excellent quality, totally worth the price.",2024-01-11
4414,Milk,2,"The product broke after a few uses, very disappointed.",2024-11-15
1156,Shoes,3,"Could use better features, but it works as intended.",2024-10-30
2539,Detergent,5,"Excellent quality, totally worth the price.",2024-02-11
8433,Toothpaste,1,"The product broke after a few uses, very disappointed.",2023-12-19
5806,Shampoo,2,Customer service was unhelpful with my issue.,2024-01-24
6817,Jacket,5,The product met all my needs and more!,2023-12-21
4063,Soap,1,Customer service was unhelpful with my issue.,2024-06-03
6303,Jacket,3,The product is okay but could be improved.,2024-06-06
2771,Jacket,3,"Not too bad, not too great, average experience.",2024-07-17
1652,Eggs,1,Customer service was unhelpful with my issue.,2023-12-21
4873,Jacket,3,"Packaging was damaged, but product was fine.",2024-03-10
7415,Shoes,4,"Excellent quality, totally worth the price.",2024-02-11
6830,Headphones,5,"Great value for money, will buy again.",2023-12-10
5678,Shampoo,4,The product met all my needs and more!,2024-06-16
7377,Bread,3,"Could use better features, but it works as intended.",2024-06-22
8567,Eggs,2,Late delivery and product was defective.,2024-10-08
3704,Laptop,4,"Very satisfied with the product, exceeded expectations.",2024-05-04
2691,Shampoo,3,The product is okay but could be improved.,2024-09-03
1098,Smartphone,4,The product met all my needs and more!,2024-02-19
5272,Toothpaste,5,"Excellent quality, totally worth the price.",2024-03-12
1635,Headphones,3,"Packaging was damaged, but product was fine.",2024-11-12
5180,Headphones,4,The product met all my needs and more!,2024-02-05
3369,Milk,5,"Very satisfied with the product, exceeded expectations.",2023-12-04
7923,Headphones,2,"Very poor quality, not as advertised.",2024-09-18
1326,Jeans,2,"The product broke after a few uses, very disappointed.",2024-05-19
4392,Milk,3,The product is okay but could be improved.,2024-03-31
6761,T-Shirt,1,"Very poor quality, not as advertised.",#REF!
